yearID,name,teamID,franchID,W,L,H,HR,BB,SO,SB,CS,ERA,SOA,salary
1989,Atlanta Braves,ATL,ATL,63,97,1281,128,485.0,996.0,83.0,54.0,3.7,966,11112334
1989,Baltimore Orioles,BAL,BAL,87,75,1369,129,593.0,957.0,118.0,55.0,4.0,676,8275167
1989,Boston Red Sox,BOS,BOS,83,79,1571,108,643.0,755.0,56.0,35.0,4.01,1054,17481748
1989,California Angels,CAL,ANA,91,71,1422,145,429.0,1011.0,89.0,40.0,3.28,897,15097833
1989,Chicago White Sox,CHA,CHW,69,92,1493,94,464.0,873.0,97.0,52.0,4.23,778,7265410
1989,Chicago Cubs,CHN,CHC,93,69,1438,124,472.0,921.0,136.0,57.0,3.43,918,10668000
1989,Cincinnati Reds,CIN,CIN,75,87,1362,128,493.0,1028.0,128.0,71.0,3.73,981,11072000
1989,Cleveland Indians,CLE,CLE,73,89,1340,127,499.0,934.0,74.0,51.0,3.65,844,9094500
1989,Detroit Tigers,DET,DET,59,103,1315,116,585.0,899.0,103.0,50.0,4.53,831,15146404
1989,Houston Astros,HOU,HOU,86,76,1316,97,530.0,860.0,144.0,62.0,3.64,965,15029500
1989,Kansas City Royals,KCA,KCR,92,70,1428,101,554.0,897.0,154.0,51.0,3.55,978,18683568
1989,Los Angeles Dodgers,LAN,LAD,77,83,1313,89,507.0,885.0,81.0,54.0,2.95,1052,21071562
1989,Minnesota Twins,MIN,MIN,80,82,1542,117,478.0,743.0,111.0,53.0,4.28,851,15531666
1989,Milwaukee Brewers,ML4,MIL,81,81,1415,126,455.0,791.0,165.0,62.0,3.8,812,11533000
1989,Montreal Expos,MON,WSN,81,81,1353,100,572.0,958.0,160.0,70.0,3.48,1059,13807389
1989,New York Yankees,NYA,NYY,74,87,1470,130,502.0,831.0,137.0,60.0,4.5,787,17114375
1989,New York Mets,NYN,NYM,87,75,1351,147,504.0,934.0,158.0,53.0,3.29,1108,19885071
1989,Oakland Athletics,OAK,OAK,99,63,1414,127,562.0,855.0,157.0,55.0,3.09,930,15613070
1989,Philadelphia Phillies,PHI,PHI,67,95,1324,123,558.0,926.0,106.0,50.0,4.04,899,10604000
1989,Pittsburgh Pirates,PIT,PIT,74,88,1334,95,563.0,914.0,155.0,69.0,3.64,827,12737500
1989,San Diego Padres,SDN,SDP,89,73,1360,120,552.0,1013.0,136.0,67.0,3.38,933,14195000
1989,Seattle Mariners,SEA,SEA,73,89,1417,134,489.0,838.0,81.0,55.0,4.0,897,9779500
1989,San Francisco Giants,SFN,SFG,92,70,1365,141,508.0,1071.0,87.0,54.0,3.3,802,14962834
1989,St. Louis Cardinals,SLN,STL,86,76,1418,73,507.0,848.0,155.0,54.0,3.36,844,16078833
1989,Texas Rangers,TEX,TEX,83,79,1433,122,503.0,989.0,101.0,49.0,3.91,1112,11893781
1989,Toronto Blue Jays,TOR,TOR,89,73,1449,142,521.0,923.0,144.0,58.0,3.58,849,16261666
1990,Atlanta Braves,ATL,ATL,65,97,1376,162,473.0,1010.0,92.0,55.0,4.58,938,14555501
1990,Baltimore Orioles,BAL,BAL,76,85,1328,132,660.0,962.0,94.0,52.0,4.04,776,9680084
